trank,team,appearance,win_lose,winRate,totalKill_perGame,totalDie_perGame,catchEye_perGame,rowEye_perGame,money_perGame,baron_perGame,dragon_perGame
1,TES,45,33/12,73,732,532,102,55,58600,2.6,0.8
2,JDG,48,33/15,68,738,542,107,50,59608,2.5,0.8
3,V5,49,30/19,61,627,525,96,46,53729,2.3,0.6
4,IG,44,26/18,59,611,605,92,42,54451,2.3,0.7
5,SN,52,31/21,59,716,655,121,51,58744,2.4,0.9
6,WE,47,25/22,53,612,602,107,57,57985,2.6,0.6
7,LGD,54,29/25,53,674,610,101,52,55752,2.4,0.6
8,RNG,39,21/18,53,522,445,112,52,57247,2.4,0.6
9,EDG,38,20/18,52,546,427,113,51,59340,2.4,0.7
10,FPX,45,23/22,51,602,611,111,47,56608,2.6,0.6
11,VG,41,19/22,46,504,498,114,53,56982,2.5,0.5
12,BLG,39,17/22,43,443,527,114,51,56979,2.1,0.5
13,LNG,36,13/23,36,371,450,99,47,53741,2.1,0.6
14,OMG,41,15/26,36,495,622,109,46,56749,2.2,0.5
15,ES,40,13/27,32,474,623,120,51,55617,2.4,0.5
16,RW,36,11/25,30,419,574,97,50,53906,2.0,0.4
17,DMO,36,6/30,16,368,614,103,49,54433,2.1,0.3
